Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,Q98069
ID Dispositivo:,,Station01
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
7/30/2021,9:45:00 PM,4557
7/30/2021,10:00:00 PM,4562
7/30/2021,10:15:00 PM,4577
7/30/2021,10:30:00 PM,4592
7/30/2021,10:45:00 PM,4592
7/30/2021,11:00:00 PM,4617
7/30/2021,11:15:00 PM,4637
7/30/2021,11:30:00 PM,4662
7/30/2021,11:45:00 PM,4637
7/31/2021,12:00:00 AM,4637
7/31/2021,12:15:00 AM,4627
7/31/2021,12:30:00 AM,4642
7/31/2021,12:45:00 AM,4637
7/31/2021,1:00:00 AM,4662
7/31/2021,1:15:00 AM,4637
7/31/2021,1:30:00 AM,4647
7/31/2021,1:45:00 AM,4677
7/31/2021,2:00:00 AM,4662
7/31/2021,2:15:00 AM,4707
7/31/2021,2:30:00 AM,4707
7/31/2021,2:45:00 AM,4712
7/31/2021,3:00:00 AM,4707
7/31/2021,3:15:00 AM,4712
7/31/2021,3:30:00 AM,4707
7/31/2021,3:45:00 AM,4667
7/31/2021,4:00:00 AM,4697
7/31/2021,4:15:00 AM,4692
7/31/2021,4:30:00 AM,4717
7/31/2021,4:45:00 AM,4702
7/31/2021,5:00:00 AM,4697
7/31/2021,5:15:00 AM,4727
7/31/2021,5:30:00 AM,4707
7/31/2021,5:45:00 AM,4717
7/31/2021,6:00:00 AM,4732
7/31/2021,6:15:00 AM,4742
7/31/2021,6:30:00 AM,4737
7/31/2021,6:45:00 AM,4717
7/31/2021,7:00:00 AM,4767
7/31/2021,7:15:00 AM,4752
7/31/2021,7:30:00 AM,4722
7/31/2021,7:45:00 AM,4747
7/31/2021,8:00:00 AM,4802
7/31/2021,8:15:00 AM,4822
7/31/2021,8:30:00 AM,4767
7/31/2021,8:45:00 AM,4817
7/31/2021,9:00:00 AM,4807
7/31/2021,9:15:00 AM,4777
7/31/2021,9:30:00 AM,4772
7/31/2021,9:45:00 AM,4787
7/31/2021,10:00:00 AM,4787
7/31/2021,10:15:00 AM,4822
7/31/2021,10:30:00 AM,4807
7/31/2021,10:45:00 AM,4767
7/31/2021,11:00:00 AM,4812
7/31/2021,11:15:00 AM,4802
7/31/2021,11:30:00 AM,4817
7/31/2021,11:45:00 AM,4807
7/31/2021,12:00:00 PM,4882
7/31/2021,12:15:00 PM,4837
7/31/2021,12:30:00 PM,4867
7/31/2021,12:45:00 PM,4832
7/31/2021,1:00:00 PM,4817
7/31/2021,1:15:00 PM,4872
7/31/2021,1:30:00 PM,4852
7/31/2021,1:45:00 PM,4882
7/31/2021,2:00:00 PM,4897
7/31/2021,2:15:00 PM,4937
7/31/2021,2:30:00 PM,4912
7/31/2021,2:45:00 PM,4872
7/31/2021,3:00:00 PM,4892
7/31/2021,3:15:00 PM,4902
7/31/2021,3:30:00 PM,4927
7/31/2021,3:45:00 PM,4993
7/31/2021,4:00:00 PM,5013
7/31/2021,4:15:00 PM,4998
7/31/2021,4:30:00 PM,5008
7/31/2021,4:45:00 PM,5013
7/31/2021,5:00:00 PM,5018
7/31/2021,5:15:00 PM,4978
7/31/2021,5:30:00 PM,5038
7/31/2021,5:45:00 PM,5048
7/31/2021,6:00:00 PM,5038
7/31/2021,6:15:00 PM,5123
7/31/2021,6:30:00 PM,5103
