Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,S02590
ID Dispositivo:,,Stn3
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
10/22/2022,5:54:00 PM,601
10/22/2022,6:09:00 PM,606
10/22/2022,6:24:00 PM,616
10/22/2022,6:39:00 PM,601
10/22/2022,6:54:00 PM,636
10/22/2022,7:09:00 PM,621
10/22/2022,7:24:00 PM,601
10/22/2022,7:39:00 PM,611
10/22/2022,7:54:00 PM,611
10/22/2022,8:09:00 PM,616
10/22/2022,8:24:00 PM,631
10/22/2022,8:39:00 PM,651
10/22/2022,8:54:00 PM,626
10/22/2022,9:09:00 PM,611
10/22/2022,9:24:00 PM,631
10/22/2022,9:39:00 PM,651
10/22/2022,9:54:00 PM,636
10/22/2022,10:09:00 PM,636
10/22/2022,10:24:00 PM,631
10/22/2022,10:39:00 PM,636
10/22/2022,10:54:00 PM,656
10/22/2022,11:09:00 PM,656
10/22/2022,11:24:00 PM,636
10/22/2022,11:39:00 PM,656
10/22/2022,11:54:00 PM,651
10/23/2022,12:09:00 AM,651
10/23/2022,12:24:00 AM,641
10/23/2022,12:39:00 AM,656
10/23/2022,12:54:00 AM,646
10/23/2022,1:09:00 AM,666
10/23/2022,1:24:00 AM,666
10/23/2022,1:39:00 AM,646
10/23/2022,1:54:00 AM,661
10/23/2022,2:09:00 AM,651
10/23/2022,2:24:00 AM,636
10/23/2022,2:39:00 AM,636
10/23/2022,2:54:00 AM,636
10/23/2022,3:09:00 AM,631
10/23/2022,3:24:00 AM,641
10/23/2022,3:39:00 AM,636
10/23/2022,3:54:00 AM,621
10/23/2022,4:09:00 AM,646
10/23/2022,4:24:00 AM,651
10/23/2022,4:39:00 AM,621
10/23/2022,4:54:00 AM,631
10/23/2022,5:09:00 AM,621
10/23/2022,5:24:00 AM,631
10/23/2022,5:39:00 AM,621
10/23/2022,5:54:00 AM,616
10/23/2022,6:09:00 AM,611
10/23/2022,6:24:00 AM,611
10/23/2022,6:39:00 AM,651
10/23/2022,6:54:00 AM,631
10/23/2022,7:09:00 AM,631
10/23/2022,7:24:00 AM,626
10/23/2022,7:39:00 AM,621
10/23/2022,7:54:00 AM,616
10/23/2022,8:09:00 AM,621
10/23/2022,8:24:00 AM,626
10/23/2022,8:39:00 AM,616
10/23/2022,8:54:00 AM,626
10/23/2022,9:09:00 AM,611
10/23/2022,9:24:00 AM,616
10/23/2022,9:39:00 AM,626
10/23/2022,9:54:00 AM,621
10/23/2022,10:09:00 AM,616
10/23/2022,10:24:00 AM,616
10/23/2022,10:39:00 AM,626
10/23/2022,10:54:00 AM,616
10/23/2022,11:09:00 AM,616
10/23/2022,11:24:00 AM,626
10/23/2022,11:39:00 AM,641
10/23/2022,11:54:00 AM,626
10/23/2022,12:09:00 PM,641
10/23/2022,12:24:00 PM,641
10/23/2022,12:39:00 PM,626
10/23/2022,12:54:00 PM,611
10/23/2022,1:09:00 PM,621
10/23/2022,1:24:00 PM,606
10/23/2022,1:39:00 PM,606
10/23/2022,1:54:00 PM,611
10/23/2022,2:09:00 PM,616
10/23/2022,2:24:00 PM,581
10/23/2022,2:39:00 PM,576
10/23/2022,2:54:00 PM,606
10/23/2022,3:09:00 PM,606
10/23/2022,3:24:00 PM,606
10/23/2022,3:39:00 PM,596
10/23/2022,3:54:00 PM,576
10/23/2022,4:09:00 PM,566
10/23/2022,4:24:00 PM,606
10/23/2022,4:39:00 PM,596
10/23/2022,4:54:00 PM,616
10/23/2022,5:09:00 PM,606
10/23/2022,5:24:00 PM,606
10/23/2022,5:39:00 PM,596
10/23/2022,5:54:00 PM,621
10/23/2022,6:09:00 PM,606
10/23/2022,6:24:00 PM,621
10/23/2022,6:39:00 PM,621
10/23/2022,6:54:00 PM,616
10/23/2022,7:09:00 PM,611
10/23/2022,7:24:00 PM,636
10/23/2022,7:39:00 PM,636
10/23/2022,7:54:00 PM,621
10/23/2022,8:09:00 PM,631
10/23/2022,8:24:00 PM,616
10/23/2022,8:39:00 PM,621
10/23/2022,8:54:00 PM,611
10/23/2022,9:09:00 PM,621
10/23/2022,9:24:00 PM,596
10/23/2022,9:39:00 PM,606
10/23/2022,9:54:00 PM,611
10/23/2022,10:09:00 PM,601
10/23/2022,10:24:00 PM,611
10/23/2022,10:39:00 PM,606
10/23/2022,10:54:00 PM,616
10/23/2022,11:09:00 PM,606
10/23/2022,11:24:00 PM,626
10/23/2022,11:39:00 PM,636
10/23/2022,11:54:00 PM,606
10/24/2022,12:09:00 AM,631
10/24/2022,12:24:00 AM,601
10/24/2022,12:39:00 AM,621
10/24/2022,12:54:00 AM,621
10/24/2022,1:09:00 AM,616
10/24/2022,1:24:00 AM,611
10/24/2022,1:39:00 AM,611
10/24/2022,1:54:00 AM,631
10/24/2022,2:09:00 AM,641
10/24/2022,2:24:00 AM,641
10/24/2022,2:39:00 AM,611
10/24/2022,2:54:00 AM,621
10/24/2022,3:09:00 AM,631
10/24/2022,3:24:00 AM,616
10/24/2022,3:39:00 AM,646
