Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,R21333
ID Dispositivo:,,Stn2
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
12/3/2022,7:56:23 AM,696.7
12/3/2022,8:11:23 AM,722.3
12/3/2022,8:26:23 AM,741.9
12/3/2022,8:41:23 AM,696.7
12/3/2022,8:56:23 AM,585.4
12/3/2022,9:11:23 AM,626
12/3/2022,9:26:23 AM,699.8
12/3/2022,9:41:23 AM,687.7
12/3/2022,9:56:23 AM,716.3
12/3/2022,10:11:23 AM,702.8
12/3/2022,10:26:23 AM,770.5
12/3/2022,10:41:23 AM,791.5
12/3/2022,10:56:23 AM,790
12/3/2022,11:11:23 AM,848.7
12/3/2022,11:26:23 AM,758.4
12/3/2022,11:41:23 AM,779.5
12/3/2022,11:56:23 AM,752.4
12/3/2022,12:11:23 PM,908.9
12/3/2022,12:26:23 PM,927
12/3/2022,12:41:23 PM,919.5
12/3/2022,12:56:23 PM,969.1
12/3/2022,1:11:23 PM,892.4
12/3/2022,1:26:23 PM,913.4
12/3/2022,1:41:23 PM,911.9
12/3/2022,1:56:23 PM,939
12/3/2022,2:11:23 PM,832.2
12/3/2022,2:26:23 PM,818.6
12/3/2022,2:41:23 PM,893.9
12/3/2022,2:56:23 PM,943.5
12/3/2022,3:11:23 PM,853.2
12/3/2022,3:26:23 PM,928.5
12/3/2022,3:41:23 PM,910.4
12/3/2022,3:56:23 PM,921
12/3/2022,4:11:23 PM,875.8
12/3/2022,4:26:23 PM,948.1
12/3/2022,4:41:23 PM,972.1
12/3/2022,4:56:23 PM,1020.3
12/3/2022,5:11:23 PM,1091
12/3/2022,5:26:23 PM,1014.3
12/3/2022,5:41:23 PM,1056.4
12/3/2022,5:56:23 PM,1121.1
12/3/2022,6:11:23 PM,1130.1
12/3/2022,6:26:23 PM,1074.5
12/3/2022,6:41:23 PM,1033.8
12/3/2022,6:56:23 PM,1134.7
12/3/2022,7:11:23 PM,1038.3
12/3/2022,7:26:23 PM,1073
